"","X","Soda_a_day","Obesity","Overweight","PE_daily","TV_.3hrs_daily","No_vege_daily","No_fruit_daily","Excercise_Daily_..1hr","gender"
"1",1,18,15.3,19.3,21.1,20.4,54.8,47.9,15.1,1
"2",2,11.3,11.3,14.5,14.2,20.9,38.5,50.1,13,1
"3",3,11.8,8.9,19,26.1,20.1,45.8,51.6,15,1
"4",4,22.4,19,21.7,15.1,24.8,52.7,52.1,16.9,1
"5",5,11.5,10.5,17.3,24.5,18.6,36.9,44.8,16.3,1
"6",6,10.6,7.3,10.2,14.2,19.9,37.1,49.2,16,1
"7",7,10,12.1,16.1,20.2,23.9,39.9,41.2,15.2,1
"8",8,13.2,17.1,19.1,6.3,25.5,57.2,42.6,11.1,1
"9",9,13.3,11.6,18.3,14.6,22.3,48.2,47.3,14.4,1
"10",10,10.2,15.7,20.9,16,21.8,53,50.6,14.5,1
"11",11,11.1,21.3,21.1,7.8,20.5,47.1,60.3,14.8,1
"12",12,8.3,11.8,14.5,6.3,17.2,49,58.7,11.2,1
"13",13,7.5,9.1,12.6,13.2,15.8,37.6,47.5,15.1,1
"14",14,9.9,11.7,16.9,63.5,19.2,44.7,45.8,20.5,1
"15",15,12.7,14.7,17.7,11.5,21.2,44.7,45.7,18.2,1
"16",16,11.4,13.5,17.1,16.3,17.6,37.6,43.6,20.7,1
"17",17,23.5,14.6,20.3,14.7,24.1,52.6,53.3,13,1
"18",18,19.3,13.6,21.1,24.5,28.3,60.4,57.4,15.2,1
"19",19,9.5,10.6,16.4,3.9,21.6,42.1,40.5,15.6,1
"20",20,10.2,10.9,17,12.4,20.9,42.8,47.1,14.3,1
"21",21,9.4,11.3,15.4,22.4,19.8,38.5,41.7,16.2,1
"22",22,10,13.8,15.9,16.5,19.8,45.4,46.8,15.7,1
"23",23,23.1,21.1,21.7,20.1,30.8,60.5,55,15.6,1
"24",24,17.6,13.9,17,25.3,21.2,41.3,50,21.3,1
"25",25,8.2,9.4,13.8,27.9,19.9,37.5,45.9,19.5,1
"26",26,11.7,11.9,17.4,22.8,20.8,40.4,43,15.4,1
"27",27,12.7,10.3,14.3,24.2,17.6,40.6,44.6,20.4,1
"28",28,9.1,9.3,17.2,20.3,21.9,50.3,50.2,16.2,1
"29",29,5.9,9.1,14.1,19.7,20.6,38.5,45.5,15.6,1
"30",30,7.3,9.9,14.2,5.9,19.3,40.4,45.2,16.7,1
"31",31,14.7,12.1,17.1,22,20.7,44.4,51,20.4,1
"32",32,9.7,11.4,16.8,16.4,19.3,45.9,45.1,14.5,1
"33",33,17.2,12.7,17.2,16.3,22,43.1,46.7,13.4,1
"34",34,11.4,11.5,16.9,30.4,23.2,42.6,46.3,18,1
"35",35,11.4,13.3,14.3,15,16.6,45,52.4,16.4,1
"36",36,19.1,14.4,22,23.4,24.1,52.8,58.5,21,1
"37",37,9.6,12.6,16.3,24.1,19.8,40.6,44.7,18,1
"38",38,25.4,11.8,17.5,27.4,19.4,65.9,58,11.3,1
