"","YearEnd","LocationDesc","Stratification1","Soda 1/day","Obesity","Overweight","PE daily","TV >3hrs daily","No vege daily","No fruit daily","Excercise Daily > 1hr"
"1",2019,"Alabama","Female",18,15.3,19.3,21.1,20.4,54.8,47.9,15.1
"2",2019,"Alaska","Female",11.3,11.3,14.5,14.2,20.9,38.5,50.1,13
"3",2019,"Arizona","Female",11.8,8.9,19,26.1,20.1,45.8,51.6,15
"4",2019,"Arkansas","Female",22.4,19,21.7,15.1,24.8,52.7,52.1,16.9
"5",2019,"California","Female",11.5,10.5,17.3,24.5,18.6,39.9402898550725,44.8,16.3
"6",2019,"Colorado","Female",19.6482394366197,7.3,10.2,14.2,27.9302139037433,37.1,49.2,16
"7",2019,"Connecticut","Female",10,12.1,16.1,21.6532033426184,23.9,39.9,41.2,15.2
"8",2019,"District of Columbia","Female",13.2,17.1,19.1,21.6532033426184,25.5,39.9402898550725,43.6245989304813,11.1
"9",2019,"Florida","Female",13.3,11.6,18.3,14.6,22.3,48.2,47.3,14.4
"10",2019,"Georgia","Female",19.6482394366197,15.7,20.9,21.6532033426184,21.8,53,50.6,14.5
"11",2019,"Guam","Female",11.1,21.3,21.1,7.8,20.5,47.1,60.3,14.8
"12",2019,"Hawaii","Female",8.3,11.8,14.5,6.3,17.2,49,58.7,11.2
"13",2019,"Idaho","Female",7.5,9.1,12.6,13.2,15.8,37.6,47.5,15.1
"14",2019,"Illinois","Female",9.9,11.7,16.9,63.5,19.2,44.7,45.8,20.5
"15",2019,"Iowa","Female",12.7,14.7,17.7,11.5,21.2,44.7,45.7,18.2
"16",2019,"Kansas","Female",11.4,13.5,17.1,16.3,17.6,37.6,43.6,20.7
"17",2019,"Kentucky","Female",23.5,14.6,20.3,14.7,24.1,52.6,53.3,13
"18",2019,"Louisiana","Female",19.3,13.6,21.1,24.5,28.3,60.4,57.4,15.2
"19",2019,"Maine","Female",19.6482394366197,10.6,16.4,3.9,21.6,39.9402898550725,40.5,15.6
"20",2019,"Maryland","Female",10.2,10.9,17,12.4,20.9,42.8,47.1,14.3
"21",2019,"Massachusetts","Female",9.4,11.3,15.4,22.4,27.9302139037433,38.5,41.7,16.2
"22",2019,"Michigan","Female",10,13.8,15.9,16.5,19.8,45.4,46.8,15.7
"23",2019,"Mississippi","Female",23.1,21.1,21.7,20.1,30.8,60.5,55,15.6
"24",2019,"Missouri","Female",17.6,13.9,17,25.3,21.2,41.3,50,21.3
"25",2019,"Montana","Female",8.2,9.4,13.8,27.9,19.9,37.5,45.9,19.5
"26",2019,"National","Female",11.7,11.9,17.4,22.8,20.8,40.4,43,15.4
"27",2019,"Nebraska","Female",12.7,10.3,14.3,24.2,17.6,40.6,44.6,20.4
"28",2019,"Nevada","Female",9.1,9.3,17.2,20.3,27.9302139037433,39.9402898550725,50.2,16.2
"29",2019,"New Hampshire","Female",5.9,9.1,14.1,21.6532033426184,27.9302139037433,39.9402898550725,43.6245989304813,15.6
"30",2019,"New Jersey","Female",7.3,9.9,14.2,21.6532033426184,19.3,39.9402898550725,45.2,16.7
"31",2019,"New Mexico","Female",14.7,12.1,17.1,22,20.7,44.4,51,20.4
"32",2019,"New York","Female",9.7,11.4,16.8,16.4,19.3,39.9402898550725,45.1,14.5
"33",2019,"North Carolina","Female",17.2,12.7,17.2,16.3,22,43.1,46.7,13.4
"34",2019,"North Dakota","Female",11.4,11.5,16.9,30.4,23.2,42.6,46.3,18
"35",2019,"Ohio","Female",11.4,13.3,14.3,21.6532033426184,27.9302139037433,45,52.4,16.4
"36",2019,"Oklahoma","Female",19.1,14.4,22,23.4,24.1,52.8,58.5,21
"37",2019,"Pennsylvania","Female",9.6,12.6,16.3,24.1,19.8,40.6,44.7,18
"38",2019,"Puerto Rico","Female",25.4,11.8,17.5,27.4,19.4,65.9,58,11.3
