"","X","Soda_a_day","Obesity","Overweight","PE_daily","TV_.3hrs_daily","No_vege_daily","No_fruit_daily","Excercise_Daily_..1hr","grade"
"1",1,17.4,16.3,16.4,23.5,19,52.7,41.9,24.2,1
"2",2,15.9,11.4,15.6,14.3,15.9,38.6,53.8,16.3,1
"3",3,10.7,14.8,17.6,29.2,18.9,42.5,49.6,24.4,1
"4",4,23.5,18.8,17.9,15.9,23.4,52.5,52.9,22.1,1
"5",5,17.3,19.9,15.6,29.1,14.7,43.3,49.8,17.2,1
"6",6,14.4,10.4,14,18,22.4,34,48.2,25.6,1
"7",7,12.1,13.1,15.3,18.4,23.6,39.4,41.6,23.3,1
"8",8,15.1,17,18.8,17.3,24.7,66.5,54.9,15.4,1
"9",9,15.9,15,14.9,18.9,23.1,48.9,45.4,22.5,1
"10",10,16.7,14.5,19.8,16.6,22.1,49.5,47.6,25,1
"11",11,15.8,18.8,23.4,10.5,21.3,45.8,47.5,17.5,1
"12",12,13.6,16.3,13.9,9.5,20,46.8,52.1,18.6,1
"13",13,9.6,13,13.4,23,16.4,32.3,44.7,24.3,1
"14",14,11,15.3,14.2,65.9,17.4,42,40.1,26.7,1
"15",15,16.6,13.6,15.4,8.9,17.4,43.7,43.5,28.6,1
"16",16,9.3,16.4,13.7,15.3,14.1,35,39.8,24.7,1
"17",17,24.5,17,19.1,7.7,25.8,51.9,50.5,17.2,1
"18",18,19.7,17.9,21.7,36,23.2,56.5,51.4,18.1,1
"19",19,16.8,16.1,15,4.3,20.6,40.3,39.7,21.3,1
"20",20,13.2,13.3,15.8,11.3,20.6,42.4,46.4,20.3,1
"21",21,9.2,13.4,13.6,24.3,20.1,40.4,41.5,22.9,1
"22",22,15.7,15,17.2,20,18.3,45.7,44,20.2,1
"23",23,22.4,25.3,17,23.3,24.8,55.4,53.3,25.3,1
"24",24,17,17.5,13.2,23.4,17.4,41.7,53.4,23.3,1
"25",25,13,12.2,12.9,39.9,20,36.3,44.9,26,1
"26",26,14.8,15.9,16.6,26.5,21.1,41.2,42.6,22.9,1
"27",27,12.4,13.2,15.6,31.7,17.1,42.9,42.5,26.8,1
"28",28,10.9,12.9,17.9,16.8,20.7,48.9,45.4,20.9,1
"29",29,10.3,12.5,14.8,7.7,17.4,41,40.1,23.4,1
"30",30,14.6,11,16.2,9.3,17.6,39.6,41.6,23.4,1
"31",31,16.2,14.3,13.5,23.4,20.2,40.4,47.1,27.6,1
"32",32,9.3,13.9,16.2,14.2,16.8,35.8,43.4,18.8,1
"33",33,19.8,11.2,14.7,14.2,18.8,42.1,44,17.6,1
"34",34,17.2,14,18.5,38.9,19.2,40.6,44.6,26.6,1
"35",35,14.4,18.5,15.4,34.7,21.9,44.8,48.1,26.9,1
"36",36,23.7,16,21.6,30.6,22.6,48.6,56.6,32.3,1
"37",37,15,13.2,14.2,25.7,20.7,44,42,25.2,1
"38",38,25.2,14.7,13.8,19.1,23.7,66.5,50.8,17.3,1
"39",39,13.2,13.5,16,16.7,20.4,37.9,41.1,23.3,1
"40",40,22.6,17.9,16.1,12.2,18.8,47.6,50.4,21.2,1
"41",41,14.2,17,19.2,14.1,23.4,39.8,48.8,27.9,1
"42",42,23.4,20.9,21.8,19.1,20.4,53.5,53.7,22.2,1
"43",43,19.3,14.4,17.3,33.5,21.5,51.2,48.4,26.7,1
"44",44,13.5,10.9,12.6,8.5,12.8,36.1,39.9,24.2,1
"45",45,11,12.6,14.3,12.6,15.3,27.3,37.9,21.8,1
"46",46,17.2,15.6,15.4,18.3,21.5,46.5,47.7,23.3,1
"47",47,22.1,22.2,18.4,30,18,47.3,48.2,24.5,1
"48",48,9.9,18,13.8,9.9,18.2,39,46.9,22.6,1
"49",49,14.5,10.9,16,13,19,37.2,43.7,20,1
"50",50,17.2,12,18.6,35.1,25.3,46.6,43.3,25.5,1
"51",51,28,19.9,19,23.4,25.8,49.9,54.3,25.4,1
"52",52,10.8,12.6,14.1,46.6,17.5,40.5,37.2,30.7,1
"53",53,11.1,9.2,10.3,13.1,14.5,26.4,28.7,29.1,1
"54",54,7.6,11.9,14.8,9.8,16.7,34.2,37,22,1
"55",55,21.5,15.7,18.4,25,26.5,37,52.4,30.3,1
"56",56,15.3,14.8,18.3,9.8,28.8,46.5,47.5,12.4,1
"57",57,17.2,10.9,13.8,20.5,22.9,47.5,39.8,22.5,1
