"","X","Soda_a_day","Obesity","Overweight","PE_daily","TV_.3hrs_daily","No_vege_daily","No_fruit_daily","Excercise_Daily_..1hr","race"
"1",1,10.9,13.5,21.6,19.6,23.3,34.8,46.2,19.4,1
"2",2,11.7,15.6,14.9,22.4,29.9,44.7,45.4,15.6,1
"3",3,14.7,10.9,15.9,18.7,20.7,32,35.9,17.2,1
"4",4,13.1,14.7,15.5,18.7,21.2,43.7,45.8,21.7,1
"5",5,16.7,19.6,15.8,14.7,15.2,51.9,41.6,22.5,1
"6",6,9.7,16.6,14.6,7.2,20.5,44.3,49.6,28.2,1
"7",7,6.7,11.8,13,3.8,13.8,46.8,56.9,19.8,1
"8",8,9.8,19,17.2,4.9,23.2,42,36.5,21.4,1
"9",9,12.7,11.1,16.7,15.4,21.3,37,45.6,21.1,1
"10",10,18.5,17.1,20.9,19.2,22.8,50.9,47,17,1
"11",11,11.2,13.2,14.4,26.9,13.8,39.7,43,24.3,1
"12",12,13.4,15.6,18.5,25.6,23.3,41.4,41.7,21.5,1
"13",13,6.1,15.2,10.6,15.6,28.6,42.5,46.4,19.8,1
"14",14,8.4,14.2,15.3,18.3,20,24.4,37,21.2,1
"15",15,18.6,11.1,15.5,18.4,17.2,32,45,20.1,1
"16",16,9.8,14.3,13.1,20.4,20.3,39.8,42.3,22.1,1
"17",17,18.7,19.8,23.4,24.2,31.3,44.2,40.4,20.8,1
"18",18,24.5,21.1,22,22.4,22.7,41.3,54.3,24.1,1
"19",19,9.2,15.9,16,19.7,24.8,33.9,39.4,19.1,1
"20",20,11.7,21.7,14.3,20.2,21.3,40.1,44.4,35.7,1
"21",21,29.8,14.7,12.8,14.7,28.8,23.7,35.6,21.9,1
"22",22,17.6,15.7,14,13.1,23.8,37,41.9,22.6,1
"23",23,23,21.4,17.2,15,23.8,38.2,38.4,26.8,1
"24",24,11.6,15.1,21.7,17.6,21.5,41.3,43.3,15.1,1
"25",25,14.8,18.3,13.1,11.7,21.3,36.1,39.1,17.4,1
"26",26,19.9,20.1,14.8,6.2,25.8,36.5,30.2,20,1
"27",27,13.1,15.1,15,20.6,24.7,36.3,39.1,17.6,1
"28",28,16.9,11,11.8,28.3,27.3,40.4,35,24.2,1
"29",29,16,21.3,14.9,5.2,17.8,37.2,47.7,19.2,1
