"","X","Soda_a_day","Obesity","Overweight","PE_daily","TV_.3hrs_daily","No_vege_daily","No_fruit_daily","Excercise_Daily_..1hr","total"
"1",1,20.5,17.2,20.1,25.7,20,52.8,45.7,23.2,1
"2",2,13.6,14.8,15,17,17.9,37.6,48.1,17.9,2
"3",3,14.1,13.3,17.4,31.9,19.7,44.5,50.5,22,3
"4",4,23.6,22.1,19.8,16.7,22.8,50.8,52,22.7,4
"5",5,14.5,15.9,15.2,26.4,18.5,41.4,44,20.5,5
"6",6,10.2,10.3,11.7,15.7,16.1,33.4,44.9,25.4,6
"7",7,12.7,14.4,14.9,17.4,22.7,39.4,40.5,23.2,7
"8",8,15.1,17.1,17.6,11.5,24.6,50.1,51.5,14.7,9
"9",9,16.8,14,16.1,21.3,22,47.7,45.6,22.7,10
"10",10,16.6,18.3,18.1,39.4,21.6,47.6,48.5,24,11
"11",11,15.2,23.8,18.3,10.9,19.8,45.7,54.8,19.4,12
"12",12,10.6,16.4,14.4,8.5,17.1,45.9,56.3,17.1,13
"13",13,11.5,12.1,12.4,20.6,16.1,37.4,47.1,22.2,14
"14",14,13.7,15.2,15.5,60.8,17.8,44.5,42.9,26,15
"15",15,17.6,17,15.9,12.1,20.3,43.1,44.6,25.7,17
"16",16,16.4,15.1,15.7,20,16.3,36.3,43.1,26.5,18
"17",17,25.6,18.4,17.8,17.8,21.3,51.8,52.5,19,19
"18",18,19.7,16.5,17.8,25.8,24.6,55.1,53.1,21,20
"19",19,11.5,14.9,14.8,4.6,20.9,41.2,40.3,20.4,21
"20",20,12.4,12.8,15.7,14.9,19.7,42.3,46.3,19.4,22
"21",21,11.2,14.2,14.8,22.8,16.8,40.5,44.1,21.7,23
"22",22,14.2,15.3,16.1,24.1,18.5,45,44.6,21.8,24
"23",23,24.7,23.4,18,24.5,27.6,57,50.4,23.4,25
"24",24,21.6,18.4,16.1,26.9,19.8,40.7,49,25.3,26
"25",25,12.9,11.5,13,32.8,19.2,37.7,45.2,25.3,27
"26",26,15.1,15.5,16.1,25.9,19.8,40.7,41.8,23.2,28
"27",27,16.5,13.3,12.8,28.1,16,41.9,44.2,27.9,29
"28",28,11.8,12.3,16.7,22.1,20.9,48.3,49.3,21.7,30
"29",29,10.4,12.7,14,19.6,19.4,42.9,45,22.5,31
"30",30,9.9,11.9,14.7,16,17.6,38.7,42.2,22.7,32
"31",31,18.3,15.2,15.8,24.3,21,41.7,47.7,26.8,33
"32",32,12.9,13.4,16.3,17.4,17.8,41.8,43.9,19.2,34
"33",33,19.7,15.4,16,23,20.1,45.5,47.7,19.9,35
"34",34,15.9,14,16.5,35,18.8,42.9,45.9,25.2,36
"35",35,15.8,16.8,12.2,16.6,17.6,44.3,47.7,23.5,37
"36",36,22.3,17.6,18.1,28.1,22.3,51.4,55.3,29.2,38
"37",37,13.6,15.4,14.5,26.1,19.4,41.2,44.6,25.4,39
"38",38,25.2,14.4,15.6,28,20.6,64.3,52.3,15.3,40
"39",39,12.9,14.3,14.6,12.3,16.8,41,42.5,21.1,41
"40",40,20.1,16.6,16.3,13.1,21.5,51.4,51.1,19.5,42
"41",41,14.4,14.1,15.6,19.5,16,41.8,47.9,29.7,43
"42",42,25,20.9,18.3,20.2,23.5,51.5,51.1,21.6,44
"43",43,19.5,16.9,17.8,35.1,20.9,51.7,50.5,22.9,45
"44",44,11.8,9.8,12.3,13.7,13.9,35.6,41.7,21,46
"45",45,14.7,13.1,13.7,10.9,19.2,27.9,37.9,22.1,47
"46",46,16.7,14.8,15.8,15.7,20.4,45.2,45.5,22,48
"47",47,27.9,22.9,16.5,27.4,20.8,48.3,52,26.3,49
"48",48,15.6,14.5,14.6,18.6,17.7,41.2,42.4,21.5,50
"49",49,14.7,13.7,17.5,17.7,20.6,41.6,46.4,18.4,2
"50",50,17.3,12.3,15.9,36.5,19.4,43.6,45,24.5,3
"51",51,32,21.7,18.1,23.9,23.2,48.3,50.9,21.4,4
"52",52,12.3,13.9,15,34.6,18.4,42.5,37.8,27.5,5
"53",53,10.2,9.5,12.3,13.1,16.8,32.1,41.3,27.4,6
"54",54,10.2,12.7,16,8.7,16.7,37.8,38.9,22.3,7
"55",55,18.3,15.1,16.6,26.9,23.6,42.8,45.7,25.1,8
"56",56,16.6,16.8,18,5.8,27.3,48.4,47.6,13.4,9
"57",57,17.5,10.9,14.2,21.9,23.3,45.2,40.2,22.8,10
"58",58,19,23,19.3,8,20.3,43.5,54,19.9,12
"59",59,11,14.2,14.2,5.8,18.4,43.8,51.3,19.6,13
