"","X","Soda_a_day","Obesity","Overweight","PE_daily","TV_.3hrs_daily","No_vege_daily","No_fruit_daily","Excercise_Daily_..1hr","total"
"1",1,21.8,11,16.1,17.7,23,39,41.6,18.7,7
"2",2,29.5,11.6,14,26.9,28.2,44.4,46.2,22.3,7
"3",3,39.4,13.7,15.6,31.3,34.3,47.5,51.5,21.8,7
"4",4,27.8,12.2,13.1,20.2,30.1,33.5,34.9,24.2,7
"5",5,32.4,13.2,17.3,28.3,39,46.2,46.2,22.8,7
"6",6,30.3,17.5,17.6,16.3,52.5,50.7,45.1,18.5,7
"7",7,31,11.2,15.2,23,40.2,41,40.6,25.7,7
"8",8,34,13.7,18,34.3,43.1,42.7,41.6,26.1,7
"9",9,22.6,15.2,13.9,7.8,32.9,44.8,50.9,18.1,7
"10",10,23.2,10.9,11.6,32,22,36.8,42,23.2,7
"11",11,33.7,12.8,15.6,47.3,35,42.6,37.1,21.7,7
"12",12,35.6,13.7,15.2,25.2,28.7,37.6,39.7,23.5,7
"13",13,32.6,11.1,13.2,20,24.9,32.1,37.8,26.3,7
"14",14,33.1,11,14.2,25.7,25.9,32.8,40.6,26.3,7
"15",15,40.5,15.4,16.3,20,27.4,42.6,53,17.6,7
"16",16,36.5,15.4,17.5,44.7,38.2,53.8,52.9,25.2,7
"17",17,19.9,12.6,12.9,6.7,23.6,26.2,38.7,19.2,7
"18",18,29,12.9,15,15.6,41.9,41.7,44.8,20.2,7
"19",19,24.9,10.9,14.4,18.2,28.4,35.2,38.9,21.5,7
"20",20,28.9,12.4,16.4,29.8,32.6,39,41,21.9,7
"21",21,47,17.7,17.7,23.4,47.4,45.9,43.9,21.5,7
"22",22,32.8,11.9,14.2,24.1,29.6,40.5,43.1,26.8,7
"23",23,26.2,10.1,13.3,32.8,22.2,35.1,39.4,21.2,7
"24",24,33.8,12.8,15.6,30.3,35.4,39.3,39.6,24.9,7
"25",25,23.5,10.8,14.4,22.7,35.1,41.5,42.8,22.6,7
"26",26,24.2,11.5,14.2,17.2,25.1,28.1,37.7,24,7
"27",27,28,10.9,13.5,29.8,27.9,37.8,44.7,22.1,7
"28",28,24,10.8,16.1,13.1,35.3,34,38.5,20.6,7
"29",29,36.9,12.7,17,29,35.3,44.1,48.6,24.5,7
"30",30,28.6,9.9,13.5,19.5,25,37.3,40.5,21.8,7
"31",31,30.3,12.3,14.9,26.2,32,41.2,45.6,26.8,7
"32",32,40.7,14.6,15.1,34.3,33.3,43.6,49.7,29.4,7
"33",33,25.2,10.6,16.1,23.1,27.4,35,40.1,24.1,7
"34",34,34.3,14.3,16.9,23.1,38.6,47,48.8,20.1,7
"35",35,28.2,9,14.4,14.5,23.8,39.7,43,22.6,7
"36",36,46.4,16.8,18.1,30.4,38.3,41.4,46.7,24.3,7
"37",37,37.8,15.5,15.2,40.5,38.5,46,44,25.7,7
"38",38,16.9,8.6,11.4,29.9,18.2,34.7,38.9,19.9,7
"39",39,24.5,11.5,14.1,18.6,23.8,28.8,32.9,25.8,7
"40",40,45.9,14.5,16.8,25.5,32,39.9,43.9,26.3,7
"41",41,25,11,13.9,32.6,25.4,38.6,38,20.5,7
"42",42,27.9,9.2,11.3,21.9,20.8,34.7,43.7,26.4,7
"43",43,38.8,13.3,17.2,31.8,37.8,45.1,51.6,19.4,7
"44",44,20.1,11.9,14.3,17.7,24.8,36.1,40.5,20.2,7
"45",45,28.1,12.8,14.3,32.6,33.3,39,39.9,25.7,7
