"","YearStart","LocationAbbr","StratificationCategory1","Stratification1","Soda","Obesity","Overweight","DailyPE","WatchTV","Veg","Fruit","Exercise"
"1",2019,"AL","Race/Ethnicity","Hispanic",30.8,15.3,22.7,23,26,49.8,38.3,25.4
"2",2019,"ID","Race/Ethnicity","Hispanic",13,18.5,15.2,24.7,19.4,47,48.6,20.7
"3",2019,"IA","Grade","11th",20.3,22.3,15.2,13.5,23.2,37.5,45.8,26.4
"4",2019,"LA","Gender","Female",19.3,13.6,21.1,24.5,28.3,60.4,57.4,15.2
"5",2019,"ME","Race/Ethnicity","Hispanic",NA,17,17.4,4.3,26.3,NA,41.2,22.5
"6",2019,"MA","Total","Total",11.2,14.2,14.8,22.8,NA,40.5,44.1,21.7
"7",2019,"MI","Grade","11th",14.9,13.5,14.8,20.9,18.6,44.1,43.9,22.4
"8",2019,"MI","Gender","Male",18,16.7,16.3,31.6,17.1,44.7,42.6,27.9
"9",2019,"MS","Race/Ethnicity","Hispanic",22.7,28.9,20.5,15.4,30.6,51.7,45.4,23.2
"10",2019,"MS","Total","Total",24.7,23.4,18,24.5,27.6,57,50.4,23.4
"11",2019,"MT","Grade","11th",12,10.8,13.1,21.4,19,38.6,49.3,22
"12",2019,"NE","Grade","9th",14.7,14.5,10.4,30.3,13.7,46.2,41.1,38.3
"13",2019,"NJ","Grade","12th",8.5,14,14.2,NA,16.8,NA,45.7,17.2
"14",2019,"NY","Race/Ethnicity","Asian",6.6,10.1,14.9,25.9,13.3,NA,43.6,10.7
"15",2019,"ND","Grade","12th",16,15.9,14.2,24.3,20.1,39,51,16.8
"16",2019,"OH","Gender","Male",19.8,20,10.4,NA,NA,43.8,43.3,30.3
"17",2019,"SC","Race/Ethnicity","Non-Hispanic White",23.7,13.7,16.4,12.7,18.7,47.7,54.5,22.4
"18",2019,"TN","Grade","11th",21.5,17.7,17.4,10.4,22.8,49.4,48.9,18.5
"19",2019,"TN","Race/Ethnicity","Hispanic",18.8,23.8,19.5,14.8,23.8,51.7,45.6,18.2
"20",2019,"UT","Grade","9th",11,10.4,10.6,31.1,13.3,35.3,42.2,24.7
"21",2019,"US","Grade","9th",14.5,14.8,15.7,34.7,20,41.4,40.8,27.2
"22",2019,"GU","Race/Ethnicity","Hispanic",18.9,21.3,11,13.9,18.4,43.1,60.7,17
"23",2019,"CO","Grade","9th",NA,11.2,9.3,18.9,NA,32,40.4,27.4
"24",2019,"GA","Gender","Male",NA,20.8,15.4,NA,20.9,42.7,46.7,33.6
"25",2019,"NJ","Gender","Female",7.3,9.9,14.2,NA,19.3,NA,45.2,16.7
"26",2019,"UT","Grade","11th",11,10,10.8,7.4,15.3,35,43.8,19.6
"27",2019,"VT","Grade","9th",NA,12.4,14.2,NA,NA,29.4,36.6,25.3
"28",2019,"US","Race/Ethnicity","Asian",4.6,6.5,11,27.3,12.1,22.3,33.5,15.3
"29",2011,"US","Gender","Male",31.4,16.1,15.1,35.5,33.3,37.2,33.9,38.3
"30",2005,"US","Gender","Female",NA,9.9,15.4,29,36.3,37.5,41.8,NA
"31",2005,"ID","Grade","11th",NA,8,13.6,23.7,23.7,31.4,43.6,NA
"32",2017,"OK","Grade","12th",27.3,20,15.7,23.8,22.1,41.2,53.5,24.6
"33",2003,"US","Race/Ethnicity","Asian",NA,6.8,9.4,30.6,35.4,25.4,33.7,NA
"34",2015,"MT","Grade","10th",16.7,10.5,16,40.6,19.7,33.3,38,31.2
"35",2013,"TN","Grade","9th",35.3,20.3,17.4,35.3,34.8,46.7,48.2,28.2
"36",2007,"OH","Gender","Male",36.6,16,15.4,29.6,32.8,43,47.1,35.6
"37",2005,"US","Gender","Male",NA,15.9,15.8,37.1,38,39.1,38.5,NA
"38",2007,"US","Grade","9th",35.6,13.5,17.2,40.1,39.7,40.1,38.7,NA
"39",2011,"TX","Grade","12th",28.8,15.6,13.1,19.9,34,43.8,42.3,22.4
"40",2017,"HI","Grade","12th",11.8,12.9,14.5,4.7,19.2,44.7,56.3,16
"41",2017,"LA","Gender","Male",30.5,20.3,18,36.4,25,50.3,49.2,25.8
"42",2011,"AR","Gender","Male",34.9,19.8,14.4,28,27.7,42.4,46.9,NA
"43",2001,"TX","Total","Total",NA,14,14.6,32.9,44.4,41.3,43.9,NA
"44",2009,"GA","Grade","12th",26.9,9.9,14.8,22.8,35.7,40.4,41,22.4
"45",2011,"US","Race/Ethnicity","Hispanic",27,14.1,17.4,30,37.8,43.6,35.3,26.5
"46",2009,"NC","Grade","12th",32.4,14.5,16.6,NA,34.5,39.9,42.9,18.9
"47",2005,"US","Grade","10th",NA,13.6,14.9,35.3,40.1,38.4,38.7,NA
"48",2011,"US","Race/Ethnicity","Non-Hispanic White",28.8,11.5,14.2,33,25.6,34.3,35.8,30.4
"49",2017,"PA","Race/Ethnicity","Non-Hispanic Black",25.6,16.2,16,22.3,32.8,50.7,41.6,22.4
"50",2011,"US","Race/Ethnicity","Non-Hispanic Black",28,18.2,16.2,27.6,54.6,45.7,36.4,26
"51",2005,"HI","Grade","12th",NA,11.9,11.8,7.1,33.3,39.8,43.4,NA
"52",2009,"UT","Total","Total",14.5,6.3,10.3,21.8,16.3,32.6,35.2,NA
"53",2013,"US","Gender","Female",24.1,10.9,16.6,24,32.2,38.7,40,17.7
